fishing boats,colors of,the rainbow
the wasp,trapped between panes of glass,first spring light
a hazy moon,floats in my cup,white sake
temperature rising,thunderstorms and traffic noise,through the north window
homeless,pushing a cart along,Commerce Avenue
a line of coal cars ,viewed from the railroad bridge ,returning chill
icicles melting,another drunk pisses,in my alley
taking a bite,from a bitter orange,january thaw
christmas night,the little corner store,last to close
evening thunder,a homeless man,comforts his dog
city sunrise,these old buildings,cast long shadows
what day is this?,the metronome gathers dust,in the corner
4th of July,hotter than,a firecracker 
no work today,a carpenter ant wanders,aimlessly
garage sale,customers discuss,philosophy 
garage sale,'tales of power',for half price
taiko drummers,listening to silence,between the beats
"no moon, no stars,",just dull light from the city,summer haze
lost,on wildwood road,water lilies directionless
suddenly,the toads go quiet,rain begins
long dry grass,bristles underfoot,iced tea
firecrackers,far off in the distance,pepper on my tongue
between the drone,of lawnmowers,a scent of rain
returning chill,dissonate melodies,from the ice cream truck
waiting for the moon,before departing,ducks on the roof
the park's spring,overflowing with sun -,home from night shift 
night shift - still,I put on some make up,to lighten my darkness
green rimmed eye -,a glimmer of youth buried,in the fading iris
muddy grave -,the rich scent of roses,so red
full moon -,the bride tells me,it was forced
fridge magnet -,snack after snack,wasting away
advanced Parkinsonism,she wipes his dribbling saliva,remembers his kisses
half-moon,first day of the sales,in Oxford Street
gale force wind,dandelion seeds,in ocean depth
old barn --,the swallows' nests,long abandonned
Eid's sale,the Sikh shopkeeper,opens later than usual
so round the moon,this end of July the caesarian section,of the Green Cafe's landlady
wild Foehn,another murder,goes unsolved
mango flavoured tea,in a silver tin - departing guests,linger a while
"oh moon, moon",above so much powdery snow,father is still ill
a McDo box,floats towards the fountain,insect on board
first snow,the asylum seeker,thoughts on the land
moon of the rains ~,even longer the days,still so dark
checking dividends,on the cashpoint screen,to and fro...an ant
"roaches, cockroaches",heroins and cracks,in pavements and minds
a narrow boat,slowly along the canal,the moon
Remembrance Day-,even the traffic,pauses for 2 minutes
21-gun salute-,mortar fire echoes,in his eyes
dignified march-,veterans and peacekeepers,pass the applause
morning commute-,headlights fade,in the whiteout
How thin the moon!,the scent of lilacs,grows fainter...
divorce hearing,we talk about,the rain
daybreak,the train graffiti drips,autumn dew
the slow drift...,sunbeam across,an empty room
in her eyes,the end our date,the moon
in the lap,of a stone Buddha,fresh snow
picking up his toys,still in my funeral clothes,the very last time
solitary walk -,at nightfall the flash,of distant fireworks
stroke of midnight,the blast of foghorns,along the coast
after the rain,I check the growth,of each tulip
Sunday morning,smells of French toast,and cinnamon...
mother-in-law's face,on the biggest pumpkin,harvest moon --
untwisting,the rose bud,spring rain
winter night—,moving the bookmark,to another book
demolition site,the colors,of closet walls
this spring's fragrance,were it a woman I'd,follow wherever
sunlit helmet,the young soldier's eyes,invisible
twilight—,a puff of smoke,from a passing train
bayou moon—,the lingering scent,of cane whiskey
ripened tomatoes—,the busy shadow,of my straw hat 
up,with the chickens—,bayou sun
deep winter—,red beans one day,white beans the next
winter stars—,moth carcasses dot,the window screen
snowstorm—,another poem,too wordy
stubbled fields—,a fresh coat of snow,on a rusted pickup
winter wind—,he says my name,with a sigh
full moon—,a swollen tick,on the sow’s ear
washday gossip—,curtains flapping,in the breeze
October moon—,the shadow of a cypress,dapples the headstones 
gibbous moon—,the swelling egg sac ,of a wolf spider
summer's end—,still a little croak left,in the bullfrog
falling leaves—,she tells another lie,to cover the last
pouring more coffee,into the cup—,rain on the bayou
a face,in the nursing home window—,filigree moon
heat shimmer—,sinking my teeth,into a peach 
detox center—,dry curling leaves,litter the doorway 
full moon—,the old dog’s howl,falls into a yawn
falling leaves—,the cemetery,almost full
autumn sunset—,one pumpkin,left in the field
Sunday bells,the wide-open mouths,of sparrow hatchlings
harvest moon—,an owl swoops,into a cornfield 
wildflower bouquet—,taking the ladybug,back outside
rain on the bayou—,just enough moon to silver,the ripples
anniversary—,a few weeds,in the rose bed
summer winds— ,pieces of moon,through the willow
walking the old path,in secondhand shoes—,new moon
the scent,of sun and rain—,first summer peach
ripened tomatoes—,the last colour,of sunset
leaden sky—,the weight,of the dead sparrow
a whispering,among my kinfolk—,wind in the cypresses
easing into,a glass of Merlot,moonlight through the pines
cloud with thunder—,the way he says,"""whatever"""
approaching storm—,the silence,between us
seniors dance,the occasional rush,of cologne
plunging a knife,into the watermelon—,the heat
end of an affair—,the ligustrum tree,no longer in bloom
mother’s day—,she wears her best apron,to wash the dishes
windfall apple—,eye to eye with the worm,that found it first
summer stars—,she tells a lie,without blinking
moonbeams—,a clump of mushrooms,where the bird's buried
summer haze—,mother's faded notes,for dewberry jam
first blossoms—,three speckled eggs,in the wren’s nest
spring rain,my tears fall for the nestling,the cat gifts me
spring cold snap—,my garden spade turns up,half a worm
moving day—,cottonwood seeds drift,past my window
ripening cherries—,the cardinal's wife settles,deep in the nest
wildflowers,the many voices,of a blue jay
spring chill—,one kitten left,without a nipple
ripening apples—,unable to button,my summer dress
mile after mile,of corral fencing—,wind in the clover
passing cloud—,her pause,before the lie
scattered wind,fragments of conversation,drift from a pub
spring buds—,the first batch of tadpoles,in the meadow pond
long winding road,the length,of our quarrel
spring storm—,a small blue feather,in the cat’s whiskers
bedtime story— ,scribbles of rain,across the window
evening coffee—,wisps of fog rise,from the bayou
the lilac in bud—,a cloud with storm in it,swells over the bay 
endless rain,without opening,a crocus falls
partly cloudy—,I remember the face,but not the name
whiskey moon—,a morning after,at the bottle’s end
a lake,brimming with mountains—,trout ripple the sky
bus window fog,the heart someone,left behind
rusted gate,old lilacs blooming,for no one
fly fishing,a rainbow arcs across,evening
October wind,sweeping cobwebs,from the wood pile
dusty knickknacks,mother's whole life,on one shelf
fireworks gone,Orion's beauty remains,in the stillness
gathering dusk,outside a quayside café,fishermen’s lines
new home,she promises me the world,in a lilac tree
ursa major,a plane's navigation lights,leave the system
house clearance,room by room by room,my mother disappears
rain on the river– ,when does white become,its darkest colour --
Kirkstone Pass,a sheepdog gathers,its part of the world
mistfall,the swansongs,of orb spiders
dark news,the comfort,of crows
hard frost-,the snail-hammerings,of a song thrush
family home,the grain of the wood,enters his hands 
sleep disorder,the gas station lights,keep me company
the half-truths,in a well-lit room,midnight's rain
first morning,the marks of a moth,in old laundry
a lamb's cry,scudding clouds over,the cemetery wall
train whistle,a blackbird hops,along its notes
the moon is broken,Battersea Power Station,from a train window
Valentine's Day,my wife reads up,on Henry VIII
zombie debt-,the practised slice,of a bread knife
lullaby of rain,another pinch of saffron,in the pumpkin soup
woodfire,flickering in the silence,corralled horses 
thunder snow,the wind-shifting scent,of fox
Gare du Nord,the slow change of snow,on fake fur
fighting illness-,the darkness before the light,of the new year
bag of beer,snail trails leave it,from all directions
sunday lunch,the chatter of children,among hard drinkers
the night train passes,along the mountain trail,garlic snores
the rain,almost a friend,this funeral
tired new mom -,brown leaves,falling from the green trees
baby's got two months,"in the forest, all is new",to my eyes 
curly morning clouds,half round,the moon and me 
my childhood room,slow movements of the ladybug,covered in dust! 
sunny spell,so sensual the necks,of daffodils
how can he love so much?,warm evening light,on the waving dog's tail
frosty grass,the horse's neck already,in the sun
April thunderstorm,at the feet of the statues of queens of France,flowers of chestnut trees
October full moon,on the rails --,hot wind
a child scan,the mutilated face --,sound of crate
silence,the moon breaks through,the firework smoke
another test,another doctor visit,long winter nights
two moons,on August 27th,Mother's birthdate
saw grass--,bluebottles teeming,on a white skull
late afternoon--,the first cow,heads to the barn
porn shop-,the graying clerk reads,Hegel
cold snap-,her pause before,each tulip
Coltrane,two floors up...floats,out a window
her hair,brushed with moonlight...,forty years ago
molten by a morning sun,frozen cranes take wing,one by one
not breathing,Japanese cranes,pausing in the snow
a hundred thousand spectators,three laureates,a moth
flooded paddies,floating rice shoots -,relentless rain
unmown grass,in the cemetery -,lighting bugs
the colour of wind,through pine trees,must be blue
lighthouse,above the sound,silence
cancer ward -,a yellow woman,applies lipstick
mother daughter,lunch,storm and thunder
laundry encounter,a plastic shark,falls out of a bath towel
'seven samurai' *,half the village burning,while my son makes popcorn
wild fires,in the mist,the ashes
grandfather's grave,just another stone,for the dragonfly
a sleepless hour,first the geese,then the train
fall clock,the deer by the pond,an hour earlier
morning troubles,it starts with a dead cricket,in the spider web
cotton fields,the only white left,is the snow
half moon,mom's birthday,without mom
eclipse,the path of the sun,blocked by billboards
ring around the moon,I remember parts,of a nursery rhyme
empty bleachers,a late night fog,takes the field
butterfly on the windshield,another journey,incomplete
early summer,the ice cream truck,makes another round
old cottonfields,a long time,between snows
harmonica player,he cups the cold,in his hands
our anniversary,so many candle flames,in the mirror
new gravesite,the persistent taps,of a woodpecker
emergency broadcast,we head for the storm cellar,with a bottle of wine
late spring,each clock in the house,shows a different time
leaving home,the warmth still inside,my freshly ironed shirt
gray drizzle,for miles and miles,this road I'm on
liberty market,one free pickle,from the barrel
christmas album,every year he wears,the same flannel shirt
murmur of rain,hard to catch the words,when he talks in his sleep
moonless night,a spoonful of darkness,stirring my tea
bullfrog chorus,one a little louder,than the rest
failed copy,the real iris bluer,than the photograph
sad news,the blur of reading,through tears
summer haze,the thin gauze,of her white dress
pale legs,under a white moon~,shivering aspen
beach house,a bit of sand,in my tea
dark lamp shade--,squinting her eyes in low light,to read your letter
tuesday sunrise,spilling grains of sugar,in my black tea
bitter quarrel,the lingering taste,of too many aspirin
last train,a woman's scent ,in a lost scarf
cello music,cold creeps under,the kitchen door
prairie motel,from my window,stars and fireflies 
after the wave ---,the grade crossing rings,for nobody
ginger hair on the mud ,all that  remains ,of a fox dream 
autumn storm --,the moth,stuck at the window
glances ...,across the river,the heron and me
autumn night --,the animal cried a long time,in the garden
traffic jam,high in the sky,a heron flies by
autumn storm,in the computer room,servers purr
drizzle this morning,islands drowned in the mist,red lights of the bridge
warm rain,"smells of tar, dirt,",and snails
a dew drop ,full ,of autumn light
heavy leaves,in the evening rain,heaps of darkness
air-raid alarm --,traffic lights are working,for no one
persimmon tree,mallards drink in,its reflection
migratory pelicans...,the pollster presses,for an opinion
crescent moon,a young mockingbird,with its one song
fever dream,a bird chirps the refrain,from the latin mass
first frost,another wish,goes on their list
first frost,why did I never,plant evergreens?
harvest days--,a fat toad,leaves the garden
the coming rain-- ,bird calls echo ,along the creek
early spring,pallets of fertilizer,on the loading dock
steeping tea--,no more or less,of the thin snow
first snow--,a dusting of flour,in the cake pans
cinco de mayo--,I walk downhill to watch,the moon rise again
spring storm--,overripe bananas,in the kitchen
evening thunder--,robin calls echo,across the park
the barn doors open--,dry leaves sweep,into the muddy yard
passing monarchs --,a few leaves flutter,to the road
cicadas,at twilight,finally it rains
summer's end,an orange sunset,crayoned on the wall
evening walk,same flickering glow,house to house
between Lake Erie,and the nuclear station,fireflies
the whole sky,for the Sunday painter,-- before thunderstorm
Ancient book,History of allergies,Sneezes
Hypermarket,at the perfume counter,Smell of leek
Carnival,Met in the stairs,Spiderman
broken bus shelter,the top model escapes,glass splinters
Armistice,He polishes the lion,of bronze
Restauration,brought back from Versailles,Nail in soles
no more war,two fighting beetles,on a tombstone
near the wall,of the cemetery,a condom
during the vigil,a withered flower,on the tiled floor
a gull gliding,out of the cloud's shadow -,suddenly white
freight train,a load of snow,going south
a chill ~,just before the drizzle,wind chime notes
rail track,amidst the corn fields,bisected infinity
chasing bubbles,near the floating moon,a paper boat
dusty haze,at the sunrise time ,a yellow rose
daylight,in the winter haze,a faint birdsong
morning fog,my new dahlias too,look so faded 
apple slices-,our last words,in the knife's blade
The New Millenium,brought to my window,two new icycles
concert under the stars --,a drop of sweat lost,in her décolletage
apple harvest,how my hands,have ripened
autumn melancholy,the click of mahjong tiles,from the computer
May clouds,new names and dates,in the family book
apricot blossoms,the birth of our first,granddaughter
blades of grass,between the flagstones ...,Easter afternoon 
Monday moon,the bent backs,of rice farmers
spring morning,finding an old flame,on Facebook
summer traffic,"four cars, a tractor",and the full moon
winter night,too many stars,above Gaza
wall-to-wall clouds,and the hum of flies,summer dust
dead-end road,at the edge of the field,a new-born calf
harvest moon,the sound of women,pounding rice
winter evening,a teacup of mint,and moon
half moon,on the river the sound,of cracking ice
falling snow ...,she brings his urn closer,to the window
attractive,even in red,an oak leaf
autumn mist...,what is she doing now,my mother?
September rain ...,unaware of any pain,a peach falls
old temple,but all my prayers,are new
murmurings,in the old temple,summer wind
summer rain ...,drinking tea to the cadence,of falling leaves
warm afternoon,a fly with nowhere,to go
flat moon ...,an aspirine tablet and a,glass of water
the teacup,as empty as,my evening
a teacup,to fill,my afternoon
my day,measured out,in teaspoons
November moon,the last ball of cheese,in the fridge
Those stars.,No more fish,in the bay.
harvest moon,i gather my thoughts,for winter
first spring snow,I release my soul in,my first yoga class
free floating,a tide full of shell fragments,and fireworks 
morning glories,find their way to the sun,on barbed wire
at half-mast,a butterfly passes by,the still flag
empty sky,she turns love letters,into wings
in winter's wind,the call of a friend,who now has cancer
sunrise,the orange glow,of birdsong
the old quarry,blooms Fire Weed,out of rubble
sheltered from the wind,in granite fissures,coltsfoot
isolation,the Hawthorn tree,flowers in silence
night rain,the steady drip ,of morphine
blossom...,the sound of birdsong,fills the silence
honeysuckle breeze,someone honks when,the light turns green
I wake beside,my daughter's sick bed,a howling dog
night of meteorites --,enjoying the sound of rain,instead
winter window,closed to the cold -,purple orchid
Tonights light rainfall,Wraps me in soft silence,On my short walk home
no wind,in the wheat,autumn equinox
my same walk,in reverse,autumn equinox
biking downhill,an Amish girl with bonnet straps ,clenched in her teeth 
Good Friday . . .,digging a grave,for this seed
tea for one . . .,the prolonged scream,of the kettle
Valentine's Day,a stock girl takes home,the petal-less orchid
the washing machine,wobbles across the room,winter solstice
only one side,of the conversation,cemetery walk
a letter addressed,to whom it may concern,cold moon
answers,just not easy ones,fall leaves
autumn equinox,laying her husband to rest,beside his first wife
just,a thin slice,Thanksgiving moon
summer solstice,at the end of the snail trail,the end of the snail
moonlight kiss,how long it takes to notice,the rain
Mother's Day,three bouquets,of emoji roses
weaving,through traffic . . .,two white butterflies
jury break . . . ,we free hollyhock seeds,in the courthouse garden
morning sun,a constellation of holes,in the rhubarb leaf
autumn equinox--,the snap,of a plumb line
forest bathing . . .,the scent of her,wildflower shampoo
field of poppies . . .,a light breeze,fans the flames
heavy air,the mango tree thick,with iguanas
book group . . .,the cat chooses,my lap
Perseids . . .,soft thuds here and there,in the orchard
gurgles ,through the baby monitor,first fireflies
honeysuckle breeze,in a circle of lowing,the newborn calf
back ,from the sea,this familiar rain
family photo,the blur of,the dog's tail
snow cover . . .,the remaining panels,of a greenhouse
new moon . . . ,the thud,of a walnut
Perseids . . . ,somewhere a cow,calls for her calf
summer solstice,unrolling dust,with the blinds
just beyond,the candle's reach . . .,fireflies
200 miles . . .,this plum blossom,on my windshield
winter solstice . . .,the reverse side,of the needlepoint
quietly joining,the conversation . . .,prairie stars
painted clouds . . .,the pause before,"answering ""fine"""
after the stroke,only half,a smile
crossroads--,a spiderweb spans,both signs
open window,the promise,of purple clover
punctuating,a moonless night,the cries of geese
after our quarrel,the frog resumes,his croaking
leap day --,sitting on my suitcase,I make it fit
after,the kite festival . . . ,stars
poetry workshop --,men compare,fountain pens
Ides of March,celebrating the return,of buzzards
ice cream truck —,they abandon their castle,to the tide
nothing but a dumpster,and that brilliant azalea,blooming beside it
slowly,day to dusk...,fragrance of lilacs
factory whistle!,near freight tracks,the night shift
just cold enough,for puddles to freeze . . .,cubist moon
end of the line —,railway carriage,rusting on the tracks
fitful sleep —,a single bark in the dark,then silence
distant thunder,white curtains billow,in the dusk
they disregard,the No Trespassing sign!,violets
so much bigger,than its bottle —,essence of lavender
pond at dusk —,frogs and blackbirds,in conversation
child's paintbox —,every color untouched,except blue
radio dial . . .,trying to find,my youth
in the attic,an antique scale,weighing dust
middle of winter . . .,the fresh scent,of clean laundry
early autumn,a round orange leaf,curled on the pavement 
foggy morning . . .,blazing with bittersweet,the cemetery wall
leaden clouds . . .,the way the bare trees,support them
a whiff,of distant Coppertone,— sea breeze
writing I love you,in the pollen dust,on her windshield
even the memory,of winter is melted . . .,blazing summer day
empty lot . . .,and still those tulips,where once was a garden
summer solstice,the sun reaches the cobwebs,in the corner
pointing,every which way,cut tulips
riverside wedding —,the flower girl,picks a dandelion
Terrassengärten . . .,from a quiet corner,the sound of a zither
from nowhere,to nowhere . . .,bridge in fog
saffron smudges,in the evening sky . . . , birdsong
examinations ...,blank sheets as students,observe the falling leaves
marble moon ...,the staccato of high heels,at rush hour
sampling my husband's,home-made wine ...,autumn evening
stuck in traffic,dreaming of the monsoon,in a far-away land
at the window,the drumming of rain ...,I catch up on sleep
this morning the sun,a fried egg on a plate,of blue china
doves,on the TV antenna,war on TV
chirping birds --,the instant I press,the stop button
new year...,a magpie turns over,an old leaf
too soon the darkness,your last words lingering,in mist
moon and mist ~,night settles into silence,and white breath
my dead mother's voice,on the answering machine,. . . again and again . . .
summer sunset ~,the slow glide of a heron,into shadows
young girls in fog --,the fleet movement of hands,fluffing tobacco
Chechnya ~,blackened bones and ashes,smouldering
new leaves,pattered by rain . . .,cardinal song
first bright day,a daffodil left,in an open book
early spring,an urge to wear,pink lipstick
painted eggs —,the promises,you made
first date,the slow dance of tulips,in a vase
a plate of pancakes,glistening with syrup,spring moon
knitting on a beach,one blue wave laps,over another
long winter night,I show him my scar,in the shape of the moon
unkind words ,the sudden tightening,of mussel shells
heavy rain,finally he comes clean,about the lie
in a pile of old rubbish,how the rain gathers,the sky
deep winter,reading a dead friend's book,on alchemy
both feet slide,into the sky,frozen pavement
Milky Way,over a neolithic dig,the length of a breath
deep,into city streets,the call of seagulls
deep inside,the iris,summer rain 
wet hair drying,on a summer night,scent of the sea 
deleting ,my pregnancy app,autumn rain 
a girl at twilight,with a white balloon,moonrise
in the hammock,where we lay all summer,fallen leaves
Southend-on-Sea,freshly fried chips,on the salt air
moss,softens the wings,of stone angels
the silence,between us-,filled with sunlight
moon on the wane,the sound of wings,at dusk
desert dream,the sound of foghorns,on the Solent
ageing skin,the warmth and softness,of a baked apple
open windows -,all the contrails,feathering
spring clarity,the local pub reveals,its old name
poetry books,banished to the bathroom -,spring cleaning
solar flare -,spring moon half-hidden,in the clouds
February rain -,the word 'spring',on the Scrabble board
February wind -,the word 'crocus',on the Scrabble board
sudden rainstorm,my place in another world,kept by a bookmark
Satie -,the rain,eases
Chinese market -,a row of small gold buddhas,share a smile
pension plans,the slow drone of a plane,coming in to land
strategic plan -,the sound of distant,foghorns
light rain -,water workers,dig a hole in the road
February sun -,a street light still on,in the daytime
the smell of varnish,lingers in the hall,like winter
Valentine's Day -,recycling,old gold
grey day,the only bright spot,a red traffic light
cold rain,the greengrocer stacks cabbages,on cabbages
a window frames,the whole free world,in one white gull
between,the Prime Minister's words,birdsong
new year,fireworks,in a misty sky
late summer,graffiti overgrown,with ivy
a drop of ink -,tadpoles wriggle,on the water's surface
spring storm -,the grey dawn briefly,luminous
atop the high wall...,the intertwining of,barbed wire & roses
after brief rain...,petrol rainbows appear,on the tarmac
mist and rain-,from the dark church,we walk into light
uphill country walk...,on the verge wild plants,thriving in a carrier bag 
fading light,with its own tiny rainbow,the lake's fountain
recycling point...,one bin's slot is sealed,with a spider's web
after warm rain...,by the river the scent,of garlic & earth
after the storm...,stuck to the window,two leaves side by side
concert in full flow...,mingling with the music,the smell of cooking
washing-up done-,through netted windows,a fading sunset
a ladder leans,into the scent of apples ...,orchard fog
brewing storm ...,how the clouds stir,in my coffee 
skin mapping,the familiar constellations,on his back
only the glow,of a paper lantern,new moon
alighting,on the edge of night,barn owl
brussel sprouts,only the bitterness left,on our table
a touch ,of bluegrass ...,spring 
the noir,of a beetle's carapace,passing rain
bobble and bounce,of the last marshmallow ...,hot cocoa 
cutting flowers ...,a honeybee lingers,in the empty space
the first scent ,of pink jasmine,open book
wet wooly mittens,drying by the hearth side,the smell of wet sheep
the rhythmic lift,of her childbearing hips,high tide 
another way out ...,a backdoor slammin',in the wind 
Beware of Dog,only the wildest flowers,go in there
the visual feast,of the first plum blossom,hunger moon
left behind,his scent of aftershave,on my cheek 
wolf call,in the distance ...,ice moon
the hollow sound,of sacred earth landing,six feet below
winter wind,a cradlesong sung,in an ancient tongue
sun tea darkens—,bees in the hollyhocks,all afternoon
mud-spattered pickup-,four dogs watch,the tavern door
spring fever,my heartbeat quickens,through the avalanche zone
spring morning-,the urge to skip,and the wisdom not to
power outage,hoarfrosted pines,shimmer in moonlight
rumble of thunder-,slicing just-picked peaches,for the pie
spring fever,my pockets full,of old grocery lists
spring rain,I read his letters,one last time
the familiar wail,of a common loon-,your empty chair
Thanksgiving evening,the call of wild ducks,out on the bay
drumming rain,a patchwork of dreams,just before waking
the trail narrows-,every shadow,a possible bear
lingering grief-,calls of southbound geese,through misty rain
lingering light,through the willows,scent of rain
obsidian night,the white sound,of rain
a steady drizzle-,all day the weight,of things unsaid
sleet ticking windows--,the chemo drip,in its last hour
evening shadows,on the walls of the Alamo,graffiti
dusty knickknacks,I try to recall,the scent of burning leaves
midsummer morning--,the boat's gentle tug,at the anchor 
an old woman,with a lost look in her eyes--,chilled wind
woodsmoke and fog,along the river bank,three trails meet
searcher's call,the lost child's name-,streetlamps veiled with rain
journey's end,far off in the blue distance,dark clouds
ice moon-,a berry branch,forced into bloom
avalanche warning-,how very still,this winter night
our dusty truck-,an Amish man walks barefoot,across the village green
that long-ago kiss--,and still Orion strides,the winter sky
bitter cold--,we don't chase the lone crow,from the sparrow's food
deepening snow--,she leaves our atlas open,to her homeland
warmed-over coffee--,the gray gray sound,of winter rain
3:00 a.m.--,through sounds of winter rain,the mail plane landing
no wind tonight,across this reach of prairie,all those stars
sipping fresh cider--,both dippers,among the far stars
cool morning--,at the top of the rise,deer pass in the fog
meditation room--,books of wisdom,lean left . . . and right
turning north--,sand from both oceans,in little jars
nearly 60 --,so many mountains around me,still unclimbed
a B-52,thunders over the bay--,blue heron lifting
Sentinels of spring...,kites bobbing for attention,in saucy March winds
the crowd ,holding blossoms . . . ,thunder!
sifting shadows,with remnants,of rain
stars falling,from the sky . . .,autumn moon
making pancakes,between whispers . . .,morning mist
humid morning . . .,words dangle,from her lips
humid night . . .,the darkness,between your thighs
"upstairs, swathed","in neon, the",scent of jasmine
lanternless night . . .,a whisper passing,through leaves
a slower,moon this evening . . .,the cold!
autumn depths . . .,a mole dreaming,of darkness
the egg seller . . .,her cracked hands,speak of winter
high noon . . .,young girls harvest,rice from a mirror
early spring . . .,young women collecting,peach blossoms
after midnight . . .,a shooting star beneath,the wharf
mid-summer . . .,she shares with me,a ripe melon!
no longer a,"mirror, this lake chasing",geese into darkness
almost summer . . .,eating an especially,ripe mango
gusts of wind,dancing together under,a harvest moon
the fullness,of ripe melons . . .,this summer moon
summer leaves . . .,remembering,mother's dry skin
"a mountain,",the stone buddha . . .,and cold food
daybreak,your kiss on the lip,of a coffee cup
the full moon,and a rice field,planted with stars
day moon . . .,a paper lantern floating,down river
kissing you,under a paper moon . . .,the stars!
cool morning . . .,your smile pasted on,a coffee cup
a monkey listens,to his own breath . . .,autumn rain
watching,my wife's ashes float by. . .,autumn moon
memories of you,in rice field shadows . . .,september moon
incoming tide . . .,your breasts,rise and fall
humid morning . . .,planting rice in a,field of mirrors
your reflection,floating in a tea cup,too hot to drink
harvest moon . . .,a new song in,the rice field
a laborer,sowing dreams,in a field of stars
"come morning,",fish scales and the letter,you didn't send
laborers sink,into the rice field,.. . . autumn dusk
lanternless night . . .,a woman too old,to dream
morning haze . . .,a post office clerk,opening letters
morning twilight,. . . the rice field,in her eyes
sunday morning . . .,her shadow,on a clothesline
harvest moon . . .,a shadow,sorting laundry
passing dreams . . .,the night scented,with laundry soap
a cockroach,in my rice bowl . . .,unaware of dawn
autumn cool . . .,wondering what an ant thinks,about after work
"in the clouds,",a fish i haven't,seen before
"ah, crickets!",the neighbors ceased,playing mahjong
summer rain . . .,the mountain sinks,into a rice field
high noon . . .,fish in the marketplace,gasping for water
the stillness of,a moth that didn't,reach the moon
petals pressed,between pages of a book,i never read
short night . . .,thoughts of you and,a paper thin moon
speaking,to her ashes,between summer moons
humid day---,her t-shirt refuses,to dry
day moon---,her skin a half,shade lighter
memories of her,floating in a leftover,cup of tea
summer grass---,my mother's,rice paper skin
moonless night---,remembering,her small breasts
twilight,watching my shadow,float downriver
sipping more than,just tea----,the moon in passing
eyeing,the apple,at buddha's feet
"the farmer,",planting corn under,a pregnant moon
drunk tonight---,an elixir of cherry blossoms,and moonlight
his shadow,passes me by---,the charcoal seller
the potter's fingers,wet with clay---,first rain
saying the rosary,a laborer,planting rice
rainy night---,her phone number,in my wallet
cold night,the clink of bottles,in a grocery cart
contemplating,nightfall---,the stone buddha
the offering,in front of the stone buddha,eaten by cats
"between two rivers,",the echo of,his mallet
sunday afternoon---,a steam train,pushes back the fog
eating rice---,how many stars are,in the sky ?
falling leaves---,a trail of clothing,leads to the bed
"biting his nails,",a little boy watches,the outgoing tide
cold night---,my reflection,sipping coffee
moon viewing---,warming my hands,with a cup of coffee
all hallows eve---,stars paint the,cemetery ground
all saints day---,spent candles,in the cemetery
dark clouds---,a student drawing,with charcoal
egrets,plucking shadows,at dusk
fading this,autumn night---,the heron's legs
sculpting,"clay, the potter",at dawn
master wind,sweeping the temple,zealously
house cleaning---,the forest fire,at dawn
metal birds,fly south to the,forest fire
even my pee,stays inside this,cold winter night
snowfall---,a milk mustache,on my daughter's face
geese honking---,children in the,bathtub playing
"lakeside,",below the egret---,a city of lights
thousands of miles,"away, her first birthday---",fresh mango
swimming across,the moonlit sky---,a gray carp
half moon,darkness drinking from an,alabaster teacup
floating,down river,an egret's shadow
dried wheat grass---,a bleached blond,combing her hair
no stars,in the sky tonight,hungry carp
burning leaves,this foggy evening---,two kinds of smoke
waiting for winter---,eating rice balls,under a full moon
"scooping steamed rice,",the laborer,at sundown
windswept afternoon---,tea scent,on my tongue
"thank you, mango---",for a moment i was,somewhere else
passing cars,replace sheep,this sleepless night
reoccurrence,of cancer ---,no spring this year
along the tracks,"in the dark, to where",the candles are 
returning light,a robin,sings and sings
hospice window,the roar of the spring tide,receding
only the winter,chrysanthemums remain,morning moon 
the red cap,of a green woodpecker. . .,first flakes of snow 
how else to know,the shape of the breeze,dancing blossoms
winter solstice,each day the boy's smile,wider
news of his death,the winter jasmine wreathed,in mist
season of mists. . .,a calling of wild geese,arrows south
amber leaves,caught between 'for sale',and 'sold'
old manor house,each empty room has,its own echo
slender grasses,and warm summer rain,touching the buddha
into dusk,the white rose,still whiter
heat lightning—,the first drop of sweat,on her chin
morning mist,green tips of onions,cracking the soil
equinox—,the double ferris wheel,across the lake
through a train window—,the blurs of lifetimes,on walls of graffiti 
pre-dawn silence,a Greyhound bus,shifts gears
hard freeze—,lingering steam,from a new-born calf
becoming dusk,"rooftop to treetop,",the echo of crows
night bus stop,the plop of a Styrofoam cup,and swirl of coffee 
lengthening days,even the morning glory,a shade bluer
long afternoon,the occasional tapping,of a screen door
"cold, foggy night—",only the echo,of a buoy's bell
gathering dusk --,with each swell of sea,a buoy dips deeper
shouldering coals,the rattle of blue crabs,in a metal bucket
sun blaze—,the flash of chrome,outside a biker bar
wisp of clouds,the slow spiral of cream,in my espresso
almost dusk - ,the zigzag flight,of linked dragonflies
dusk-,fireflies leading the way,to the car door
long drive home,grass poking through,fresh fallen snow
rushing to work,seeing frozen new leaves,on the rose bush
Morning Paper,twice the colored ad inserts,as the news
packing up house,boxes of broken dreams,filling the dumpster
driving home,full moon,dancing in puddles
at the hotel,plugging in my laptop,for a touch of home
through the window,five minutes between projects,watching the pansies dancing
scent of rain,all the ways,we failed each other
spring rain,the dogwood,"half petals, half leaves"
hunger moon,how bittersweet,this longing
a fallen leaf,brushes the corner,of your grave stone
autumn chill,the fallen leaf's veins,tinged a deeper hue
day lilies,the dormant spark of death,within me
