rectory roofers,their ladders,take them higher
the desert stars??,i almost believe,his forever?
a neighbor's dog howls,with the sirens??,night heat
the ocean's roar,on the forest hike,my second-wind
dry thunder,one yellow leaf trickles,from all of the green
fluffy seed pods??,the evening air heavy,with party chatter
death valley:,a man who's never been there,tells me all about it
as great,as the grizzly,the fear
sand fishing,the long shadow,attached to his heels
your cologne,lingers on my skin . . .,day moon
summer's end,we topple a pyramid,of beer cans
choke cherries??,press of my skeleton,through the flesh
thudding surf??,her permission,to be blunt
sequoia national park,i promise my grandkids,they?ll grow tall
lifeless bumblebee??,the ground around it,darkens with raindrops
hailstone,it tastes a little,of wild onion
gibbous moon,my son tells his part,of the story
nursing blisters,at the halfway mark . . .,soft mossy rocks
cloudburst,the sound of raindrops,changing size
summer night,my cat speaks to it,through a screen
pulling,the push? door,vernal equinox
the road disappearing,into wetlands of mist . . .,i keep going
the scent of turned earth,across seeded fields,twilight
hawthorn breeze,the white bob,of a rabbit's tail
spring wind,our dog barks,where i?m hiding
wildflowers,i cannot name,most of me
twin lambs,the ewe keeps watch,over the one not moving
her note,in my pocket,cherry buds
the best conversations,are in my head??,rain on the windowpane
may rain??,i stretch my body,over the whole bed
fishing village,a rumor of blues running,through the caf?
summer wind,we ask a younger couple,where we are
winter sun . . .,i look for something useful,to do with my hands
icy cobblestones??,the tinsmith,stokes the forge
tangled,in blades of grass,spring breeze
i ask him again,the honeybee burrows,into thistle
home game,our wind,in their flag
lowered,on lark-song,his coffin
orange nasturtiums,the stir of life,in my womb
gooseflesh,in the cold grass,crickets
her death bed,the clackety-clack-clack,of my homebound train
he tells me the word,i?m looking for,total eclipse
late autumn,a doll that lost,its sawdust
guttering candle . . .,a whole life lived without,the northern lights
falling leaves,the knot that makes,two lines one
wetting fingers,to pick up crumbs,insomnia
a carpet of leaves . . .,i try to remember,her first smile
christmas eve??,candles flicker through,our wine glasses
summer's end,the familiar scent,of the old salt cedar
a hummingbird,follows the falling leaf,my friend's untimely death
paper lanterns,a white eggplant glows,beneath withered leaves
simmering rice grains,in the pot??,patter of rain
the cricket,stuck in a minor key??,milky way
morning glory,still some openings,i haven?t seen
9/11 moment of silence,the clicks,of a thousand cameras
the only cafe,surrounded by trucks,harvest moon
salt marsh,the runnels deepen,through cordgrass
from one skyscraper,to the next,emerging moon
cicadas buzz,as we walk from the church:,white dresses
lightning strike,the majestic poplar's,creamy heartwood
ashes of roses??,what once was our secret,now just mine
mountain top??,the photograph of the view,before the view
the big empty??,half grass,half sky
trail dust,all those years mother hiked,behind us
heat lightning,a skunk's scent,wets the night air
late summer:,waking to the vacant o,of the wren's house
faded roses,some of the words,i can?t take back
summer twilight??,the red ball runs,the final wicket
pedal boat,i overtake,a duck
rainbow,his sketch stippled,with droplets
3:30 a.m.,a single layer,of birdsong
tempers flare,the x-mark on the back,of a stinkbug
venus and jupiter,the barechested fire-eater,taunts his crowd
an arc of ibis,above the harbor,blue sky day
summer dusk,a little milk,left in his glass
squad car,at the neighbors? again,distant thunder
every word,breaking something,hailstones
dirt road??,a buddha sticker,on the stop sign
in the tide mark,a child's blue jacket,gull's cry
low tide,waiting for grandchildren,to happen
azalea bonsai??,the flower girl clutches,her first bouquet
honeysuckle,the hummingbird,presses in deeper
early summer,boys throw father's lures,into moonlight
sea anemone,the baby's firm grip,on my finger
first birthday,she reaches,for the flame
summer rain . . .,the red earth,reddens
sheet lightning,a grey cat flickers,through the grass
three-day beard,a large rock,divides the river
fog blurring the hills??,to pass the time,we reminisce
high autumn sky,i return a greeting,from the dog
dusting over,dad's bowl of wheat pennies,late autumn light
we talk . . .,most of the rose petals,on the table
the barnacled flukes,of migrating whales . . .,mountains lost in haze
far below,migrating geese,follow the river
parting year . . .,someone has died in the house,with the shoveled walk
all that sound,from a single sparrow??,winter morning
morning rain,secondhand smoke,in an apology
morning fog,on the coastal route,wild mustard
dragonfly pair,female so clear,through his wings
dusk,with nowhere to turn,sunflower
midnight bus,the door swings open,to moonlight
single track,coal cars,beat out a tune
shrinking shade,a praying mantis rocks,in the warm breeze
smell of sedge . . .,coots settling,in the reeds
late moon halo,fish scales reflecting,on my father's blade
the hound's tail matches,the turn signal's beat,almost home
whistling to myself??,the changing rhythms,of marsh grass
ancient fir scar??,a banana slug pulls one eye,inward
blackberry stains,on the white sidewalk,his urgent kiss
late summer talk??,the oil lamp smoke,going in circles
sunset . . .,the fishing boats closer,to each other
cracked boulder,an acorn,settles in
shelling almonds,bits and pieces of,childhood
on the hammock . . .,floating back to its branch,a butterfly
end of summer,the sting of a thorn,through my garden glove
essays to grade,a car stirs dust,on the gravel road
cattail seed,floating???the places,i would go
melting bitumen,the beetle and i,reduced to a crawl
smell of grass,a drop of sweat sizzles,on the mower
the smile,in his voice,starshine
listening to the sound,from the deep well . . .,stone on stone
poplar seeds . . .,all my dreams,coming true
long afternoon . . .,here and there,a butterfly's shadow
deodorant scent,"tonight, love,",i am a spring wind
thistledown,drifting toward its shadow,my friend's last day
roots down deep . . .,mud paddies bake,in the midday sun
summer dusk??,watering the garden,then my feet
mountain retreat??,a layer of dust,on all the canned goods
green-black sheen,of a rooster's tail feathers,my neighbor's new car
closing light,the whistles of siskins,in the fringes of the wood
dead end street,bougainvillea overflows,the chain link fence
broken screen??,the house finch,looks in
at the entrance,to the whistle-pig's burrow,mountain bluebells
when you think,you?ve heard it all??,brown thrasher
we both squeeze,through the kissing gate . . .,thunderclap
desert wind,a wire fence stretches,to nowhere
dry spell,the dust of sparrows,blown by the wind
an empty shot glass,on the windowsill,evening snow
heavy going,through the waterlogged field,clay-pigeon shards
a rainy slope,where legions fell . . .,thistles
wild mint,in the spring forest,a chance encounter
rocky shore . . .,the trout on my line,pulls you closer
cabin fever . . .,bullrushes bursting,in the vase
shredded checks??,the robin weaves my life,into its nest
warm breeze??,new ivy leaves finding,their place in the sun
spring moon . . .,from the street girl's hand,a shadow rabbit
crabapple blossom??,the older twin always,one step behind
temperature drop??,the way stars are,a witness
swollen moon??,the sudden urge,to push
the fire's scent,lingering,morning moon
cold snap . . .,waking to the creak,of house timbers
clatter of pipes,when i turn the tap off,snowy night
a hawk's cry,i listen,to the gathering dark
how strange this human body,not queen anne's lace,not thistle
frigid morning,the brittle echo,of a crow
winter evening,my boy calls,to say he's feeling better
an ancient wick,casts shadows on the wall??,mother's soft humming
milky way??,maybe tonight,i?ll conceive
twinkling stars,again we pass the house,we?ll never buy
wounded knee??,trying not to speak,above the wind
the geyser erupts??,for a moment i forget,the smell of sulfur
conversation,above the kitchen clatter,summer evening
stepping stones,a dragonfly lands,on my shoe
zinnias . . .,why yes my favorite,was harpo
the dog and i,on the moonlit dock,scratching bug bites
august evening,grandfather whittles,the light away
this sky,too blue to last,chickadee
vertical dive??,the ocean folds over,a tern
a stream begins,in the middle of the trail,thrush beyond thrush
day-long downpour . . .,dressing the children,for the ex-wife's wedding
the longest day,he stills the mower,at twilight
rippled sand . . .,each trough cradles,the glint of shells
midsummer day??,tilting a longneck,all the way up
morning sun,the honeybee's abdomen,pulses
haggling over price??,the frozen jaw,of a warehouse tuna
midsummer sea,silver ripples,from an otter's back
beachside caf?,a bit of sand,in the waiter's ear
thunder??,a looping inchworm's,rhythmic slide
every spring,the same question . . .,returning bees
sunrise,a shoot half out,of its seed skin
faint scent of lilacs,i wonder what he means,by
paper cranes,the yellow birch unpleats,its leaves
beachcombing . . .,a wave picks up and drops,the sun's reflection
lantern light,the river slips,through our fence
first buds??,the oriole sings,its love song
from the secret place . . .,the mother dog,with her litter
sun-dappled sidewalk,shadows of new leaves play,on stains of the old
moonless night,foxfire where there was,a forest road
in blinding snow,sweet silage smell,from a door left open
winter morning,the flag-draped coffins,of a few
winter sun,the last photographs,in mother's album
all day rain,a whistle of wind,breaks the rhythm
the ewe,nudges her lamb once more??,ravens cawing
more snow . . .,the nag of an itch,i can?t reach
thin clouds,the ladle steams,above my bowl
rain-lashed valley,the ram's wool matted,over his bones
bevy of sparrows,a creek breaks,its winter banks
a brown leaf,dangles among the buds??,the ambulance arrives
the darkness,of long-empty stables??,quaker meetinghouse
three-quarter moon,the windmill rusted,into silence
sunset and moonrise??,if only i could learn,to be faithful
october frost,the tread of the landlord,on crisp brown leaves
grandmother,the stoop,in her shadow
soldiers coming home . . .,three wasps circle where,the nest used to hang
click-clack,of the bead curtain??,the sway of her hips
a sioux tunic,embroidered with elk teeth,behind smudged glass
thin marsh ice,my father attempts,an embrace
a sparkler fizzles,into darkness,year's end
ripening wheat??,he whistles,the latest love song
i don?t know,what to tell her . . .,bruised mint
dog days??,pulling off,cockleburs
summer's eve,i turn the glider cushion,to its clean side
late summer,crossing the memory,of a stream
beach cabanas,flapping in the breeze,the sound of idle chatter
handshake,not a kiss,starless night
summer evening,a cook in the alley points,his knife at the moon
muggy evening,a door slams shut,in the dead man's house
sunset,i absorb the stillness,in the trees
stars begin to fade . . .,so much music,from unseen birds
slow train journey,a gull's shadow,takes the lead
worn out day??,rocks the river left,on top
midsummer,a speedboat slices,the lake in half
scorching heat??,the shrilling of cicadas,pierces me
nameless falls,a water ouzel,at rainbow's end
dead man's curve??,a screech owl veers,toward the river
after each,turn of the page,the fly
thunderclap??,the sun tea,darkens
secret campsite,chilled beer clinks,in midstream
first night out,on their own . . .,my seedlings
spring breeze??,a mosquito in the sap,of a beaver stump
day after memorial day,a rolling trashcan filled,with flags
field stones,the broadness,of the farmer's back
fragile truce??,beet seedlings,in a crooked row
milkmoon??,my daughter nurses,her plastic doll
spring hail,the horse rolls its tongue,over the fencepost
market stroll??,rotating a coin,in my pocket
summer solstice,the long shadow cast,by a plastic t-rex
swimmers,at the middle of the lake,graduation night
hundreds of gulls,feeding their chicks,he points at the dead one
first warm day??,the woodpecker works,a shiny stump
dark hallway,an explosion,of cut lilac
muddy gloves,a colourful bunch,of empty flower pots
next to the tracks,an old bottle,catching dawn
years later,mist still gathers,in the same hollow
a tap,on the shoulder??,a raindrop
town cannon,a finch with twigs vanishes,down the muzzle
night rain,the bedroom fills,with memories
we let,our secrets out,empty nest
kneading dough??,a cold wind gathers,yellow leaves
first frost,the birds that stay,the birds that go
mother's keepsakes . . .,the questions,i never asked
quilting circle,we rearrange pieces,of our lives
fishbowl,telling a child,about death
a handful of kindling,in the fireplace??,moving day
deep woods,an old stone wall,buried in leaves
making resolutions,piles of fallen needles,beneath the pine
house sitting . . .,the warmth,of my friend's cat
winter evening,my boy's,thin shoulders
on a field,of ripe tomatoes,the empty wooden crates
every place taken,on the finch feeder,september rain
split milkweed pods??,getting to know him,at his memorial
a leaf??,its descent stopped,by a child
wembley stadium??,a blackbird sings,to empty seats
labor day??,scraping mold off,government cheese
breathe in,breathe out,autumn moon
autumn dusk??,a fine layer of mist,over the cricket pitch
first mouthful,of a warm cider doughnut,scarlet hillsides
moon at the window . . .,i cut another eye,from the potato
cabbages starting,to touch each other,late-summer heat
oars in unison,slicing the river,slicing the moon
dimly lit porch,the newspaper boy,no longer a boy
the storm's rain,rising as mist . . .,wings of a barn owl
a curlew,holds its second note . . .,shadows lengthening
small town,hospital . . .,sound of the typewriter
night time??,moths queuing,at the cash machine
late summer flowers . . .,the joy,of a good sneeze
settlers? cemetery,an old yew creaks,at noon
gleam of mudflats??,a snail retreats,into its shell
honeysuckle,where you first hear,the river
roaring wind??,my little thoughts,for tomorrow
ocean breeze,a pitcher and his interpreter,walk to the bullpen
birdsong . . .,the neighbor's light on,at 3 a.m.
sunrise??,the new calf fumbles,at an udder
morning commute,sprinklers soaking,the strawberry fields
dense fog . . .,the train evaporates,into a distant horn
first swallow . . .,the calm of dawn,slips away
low sun??,a wren's song,spirals
coats dripping rain??,we discuss,our addictions
new year's dawn,the dog waits beside,his empty bowl
deep winter,the thin bones,of her wrist
bone chilling??,not enough night,for all the stars
cool march breeze??,between faded tea towels,her frayed pink bra
nascent spring,this warm loaf,of ten-grain bread
white walls,white pills . . .,another day
winter night,the sound of mother's,sewing machine
winter evening,a young woman smiles,from the hair dye box
first spring day??,even out of doors,i want to go out
daffodil shoots . . .,underneath a bandage,the cut begins to itch
unemployment line,the autumn wind,fills with leaves
solitude . . .,smoke from the incense,thickens a sunbeam
father's ashes,the sea spray,chills my face
christmas drizzle,my children come home,on different days
storm warning,the inflatable snowman,lying low . . .
lights from cities,a passenger's shoulder,touches mine
bedside vigil . . .,moonlight comes,and goes
cusp of winter??,passing into,the mountain's shadow
minute of silence . . .,a single fir needle,on the hardwood floor
winter fog,the minute hand,stuck in place
craggy overlook,a tail swinging,in the hawk's beak
dry patches,on the schoolhouse lawn??,remedial math
broken pavement . . .,she shows me,the blackberry patch
one turtle's foot,on another's back,labor day
magpie season,the schoolgirl's lunchbox,on her head
dull blade??,the way it opens up,a peach
after the funeral . . .,i rotate the chessboard,with each move
moving day,the children stick postage stamps,on the bare kitchen floor
harvest moon,a soup chicken thaws,in the sink
fog lifting??,my cat finishes,a sparrow
fine china,a dusting of pollen,over my tea
kite string,between father,and son
house hunt??,our dog inspects,all corners
moving van??,the smell of fresh bread,from a neighbor's kitchen
too late to take it back:,the purple spines,of the sea urchin
cell phone ringtone,again in the mix??,mockingbird
no one calls,she gently dusts,her porcelain rabbits
early dawn,the warmth of our son,between us
the long day,a bug,cleans its antennae
summer night,secrets escape through,open windows
first day of spring,children risk marbles,on the playground
chore time,the boy ties his kite,to the scarecrow
palm sunday,the birdwatcher,tiptoes out of church
prairie grass,a mustang runs,with the wind
memorial day,his name her reflection,in black granite
easter eggs??,the multicolored faces,of the children
late for church,from an open barn door,the lowing of cows
blue-eyed grass,she asks,if i love her
in his woodshop . . .,my father is lost,in the grain pattern
new home??,orienting myself,to the sun
valentine's day,his dog drops driftwood,at my feet
breaking the ice,i tell the cattle,it is almost spring
last days of winter??,a jumble of tarnished silver,on the sideboard
older suburb,woven through,with wild plum blossom
as i reflect,on growing old . . .,daffodils!
winter twigs??,the buds forming,at the scars
seed catalogs??,garden plans grow around,a toad house
open crocuses,wind lifts the feathers,on a starling's throat
her third birthday,tulips bend,under a light snow
waking up,not alone,cherry blossoms
farmers? market??,on the mangoes in the straw,a strand of tinsel
pinging sleet,she tugs tight,each stitch
the bootprints end??,the brook keeps flowing,into the deep woods
dark so soon,a stand of pines,with snow-broken limbs
warm from the dryer,summer clothes,for the suitcase
christmas concert??,mary keeps the beat,on the baby jesus
mouse sounds,a chunk missing,from the moon
town dump,a bear just sits there,in the falling snow
biting wind,our words fly,over each other's heads
if purple,were my color . . .,twilight snow
first love,the sterile flower,of queen anne's lace
"slow, slow dusk",cicadas flood the pause,between apologies
caught,in the revolving door,sunset
ocean dusk,a tattler hauls a morsel,from the shallows
first cold night??,the plumber swears,in polish
windy afternoon,two beetles manage to mate,on the goldenrod
farm auction . . .,the green side,of a tomato
the off season,leaves cover,the nude beach
a leaf,in no hurry,indian summer
days shortening??,his childhood sketches,of dinosaurs
leaning trees,almost touch across the creek,a dove's flight display
sultry night,the rhythm of oars,stroking the lake
clipping tags,from luggage . . .,summer's end
rolling in,with the morning fog,seabird on a wave
mist into rain,the drone of a small plane,blends with our chanting
headwaters,the dipper's shadow,follows its call
out of names??,we sit silent in the dark,among the stars
autumn dusk,the gates of the lock,close behind us
point reyes lighthouse,how the deep note travels,on the water
school bell . . .,noticing her,for the first time
chess in the park . . .,an acorn,topples a king
sandcastles,new friends work on,old problems
the child,blowing on a pinwheel??,the wind blowing on her
cracked soil,a day laborer bent,over his shadow
distant thunder,a revolutionary cannon,green with age
summer night,a smoker's cough and the clack,of mahjong tiles
sitting on the hill,"of mom's pregnant belly,",the lego castle
my kinfolk,don?t say a lot,hemlocks all around
wildfire,vultures circling,the outer thermal
blue violets . . .,the coolness of evening,ascending the mountain
as it stretches,"back to preen, the sinews",of a swan's neck
ants working late,in the afternoon sun . . .,a drifting contrail
the milky way??,a glowworm reaches,the tip of a rose
sultry afternoon??,wingtip laces,work loose
deep in summer,the river over and under,my hair
on the sergeant's grave,a wild jackrabbit,nibbling grass
cabbage butterfly,floating in the breeze,laundry day
big sky,the sharp edge,of the spur
sunlit trampoline,my grandsons bare,their chests
lightning,the blue afterimage,of your white hands
first light,the beachcomber,begins his rounds
graduation day??,we hold hands more tightly,as our son's name is called
my baby's sigh,the last colors,of sunset
negotiations??,the butterfly's wings,open and close
what should have been said??,how the sand pulls,from under my feet
temple grounds??,one finch,feeds another
white butterflies,lost in the barley,lost in the wheat
long day . . .,the lizard's hind leg,stretched too far
race weekend,the worn paths,to the restrooms
palm sunday,the sound of a frond,ripping
bearing down,on a borrowed pen,do not resuscitate
a slight shake of bells,as the harness comes off,night snow
moonless night,children's muffled voices,from the snow fort
winter sky??,a skein of wild birds,unravels
blinding ice,my saw releases,the scent of pine
spring cleaning??,i never cared for the scent,of her letters
his sax echoes,in the walkway tunnel,warm wind
a wildness,blowing through the neighborhood,with the snow
cold morning,a thin cat slips in,the closing door
the wrong side of town,a paw print,collects water
cactus bloom,i decide to forgive,myself
cold spell,the man at the ballot box,reading nietzsche
both parents,in his room,snowy evening
this cold night . . .,a child's hunger embedded,in pixels
cold winter sky,intertwined branches,of an old beaver lodge
the reddened snow,six ravens and a coyote,removing the elk
hard frost,a dumpster's lid,slams shut
the long sigh,of a pregnant girl,december wind
frozen solid,two withered leaves,overlap
snowy field,a small creature's tracks,interrupted by wing prints
a russian winter??,each book weighs several pounds,on the kitchen scale
autumn dusk,i wave to a girl,waving to someone else
first time up this creek,the dragonflies,won?t keep still
crescent moon,the beaver shreds,a lotus leaf
moonlit grass,a farmer whistles catfish,to the surface
our locked gate??,earth stops the falling,leaves
mushrooms tilting,into each other??,misty rain
a place under,the willow tree??,autumn rain
autumn mist,in the beggar's hand??,his empty stare
autumn evening,her seventh rejection,of my proposal
early frost,a scatter of termites,from tonight's log
new motorcycle,we pass through the scent,of someone's dinner
sun-baked grasslands,the color in the wings,of blackbirds
midnight??,the last firecracker,fizzles
romanian village,when the dog has passed,the rooster crows
autumn rain,she lights her cigarette,from his
dusty hike,a snail also crossing,the dry stream
so dry??,the chaparral partly woven,into my socks
the ragged bark,of a paper birch,his death day
mother mends her shawl,with tobacco twine . . .,curing season
end of winter,the flannel sheets,worn smooth
spring cleaning,our cat curled up,in the give-away box
downpour . . .,two blackbirds bathing,in cherry blossoms
bullfrog eyes,half out,dusk moon
carpooling??,i discover my colleague's,passion for lilies
my teenager,folding paper samurai,spring wind
gathering clouds,the rusty tractor,in a deep rut
soap bubbles,from a child's wand . . .,spring breeze
long-stay ward,a forged signature,on the mother's day card
quaker meeting,a breeze passing,from tree to tree
casting stitches,on a circular needle . . .,new year's day
below zero . . .,verbalizing,my self talk
lullaby lyrics . . .,the graceful curve,of a snowfield
deep winter,the lemon seeds also,sliced in half
cinnamon toast??,my boys warm,from their beds
after soup,the warmth,of the bowl
icy rain,the clatter of teacups,on a wobbly cart
longest winter,the potato basket,empty
snow moon??,steam rising,off the milk pail
low winter moon,just beyond the reach,of my chopsticks
sudden chill,from across the lake,another loon
first autumn,without mother,the leaves
before dusk,that thin strip of light,under the clouds
fallen leaves??,my old dog,finds his way
thanksgiving??,holding a bite,through the prayer
mountain stream,two stone bridges,joined by mist
last leaves fall,the warmth of his voice,deep in his letters
voting day??,crows on a cedar bough,shift their weight
first frost,the smell of dust,burning in the ducts
christmas eve,cracking walnuts for his son,and his dad
veranda railing,a magpie stares down,the dog
early morning sounds . . .,the stench of the cattle truck,before it arrives
setting sun??,the old man catching fish,and letting them go
autumn wind,unwinding summer's,entanglements
forest tree??,lichen by-passes,an old wound
between fence rails,a little boy explains cows,to the cows
heat lightning,a beggar outside starbucks,shakes his cup at me
summer's last hour:,a yellow-jacket settles,in my garden glove
mountain lake,i paddle the moon path,to your cabin
leaden sky,this dead finch,weighs nothing
sunrise at the pier??,calamari fishermen,bowing to the sea
late afternoon sun,pigeons land,on all the heroes
after fireworks,the last croaks,of roosting egrets
first love??,we mark our boundaries,with river rocks
car ride,the child draws,a silent story
drifting up,into old aspen trees??,the sound of checkers
"changing his angle,",changing his song:,a thrush at dusk
fast moving clouds,my grandson finds stones,that fit his hands
sun-warmed room,the patina from his touch,on the hand drums
a year,wiped away,dust on luggage
at the corner,the shadow,splits in two
emptying my bag . . .,the pebble makes me,think of the hill again
a faint groove,round my ring finger,new moon
spanning,the canyon wind,california condor
such stillness,i absorb the sound,of creaking bamboo
the glitz,an ant carries??,morning sunshine
the sparkle,in our conversation,sunshine on her knees
his face,shaped by the speed,of his bike
morning meditation,a moth,works the room
country graveyard,confetti,in the grass
waking up??,the lightest speckle of rain,on the lake
bird song,the widening span,of my son's hand
spring morning,the art of walking beside,someone much older
mist under the bridge,the drifting shapes,of hobos
church graveyard??,from somewhere close,the fragrance of lilies
at the centre,of constant ripples,a moorhen's nod
early spring??,the young boys spinning,till they?re dizzy
graveside??,my breasts,leaking
waxing moon,the sound of a butterfly,emerging
spring rain??,her finger shushes,my lips
mile high . . .,adding my breath,to the clouds
what do i know,about the untethered balloon,my daughter's embrace
his ashes,turning into the current,the turtle's ears
early morning,glue sets in the shade,of the old shed
early warmth,in the backyard a flicker,pokes among rocks
that dull gleam,through the hazy park??,a playhouse window
one maple leaf . . .,end over end on the sand,without a trace
everywhere this morning,maple keys soaking in,the gentle rain
summer dawn??,light around the windows,as at grandmother's
thump and screech??,the long freight pulls out,in robin's song
restless pigeons??,gentle words from a clerk,bring a hint of tears
crescent moon,would i look at the clouds,without it?
how to tell,of the myriad rich browns?,pin-oak leaves
persons and place,to view the moon,sake not quite full
santoka too,passed away on this date??,wine with my tears
long road,the leaves and i,windblown
sunshine,the colours,of the hill
temple steps??,his shoes,in the autumn rain
backyard pine??,what can i do,with all these crows
his lantern's glow,pushing back the dark,frog song
ebb tide,the heron steps,into twilight
daybreak . . .,a migratory bird's feather,on the path
love:,a kigo for all,seasons
a memorial bell,"tolls tolls and stops,",but his words . . .
blue dragonfly,pine needles cover,the narrow path
the mountain pine??,"holding the light,",held by it
?bill's day???,draw the letters,in aspen-glow
a little cold,and without the bright fish,this golden pond
gray october,the poet's voice,outlives him
full moon,and so my thoughts,turn to you
vest pocket park,the leaves a little,less brilliant
at his passing??,a ripple in the river,of stars
misty shroud??,leaves falling,between the rails
sunset fades,from the highest peak??,autumn chill
higginson's haiku,still among the living;,the autumn wind
a teacher's passing . . .,moonlight bathes,the apple tree
another light,now??,among the stars
a gentle breeze ripples,everywhere his words,leaves on grass
opening his book . . .,the world he offered,tumbles out
beyond emptiness,the moon filling itself,for certain
autumn evening . . .,adding another star,to the milky way
prayer flags,the autumn leaves carry,the blessings to you
cloudy day,the janitor misses,a fallen leaf
surf murmurs,the basso continuo,behind the dunes
this fragility??,white cranes laced,in the air
dry autumn,the fading vibrance,of a spider lily
hard to tell you,how i feel . . .,this late autumn sky
petrified forest,a stone axe echoes,in the sky
autumn ginko,one by one,into mist
harvest home,a red nasturtium,heads for the stars
a single breath,the ember,comes to life
leaving us in autumn . . .,leaving behind him,the blossoms to come
ebbing tide,a bright shell caught,by the current
tree leaves fall,as the long journey begins,a fading hymn
white hydrangea,fading,in white light
insect chirps,lingering low on the ground,the later moon
heavy fog??,the mountain still back there,out of sight
what a silence!,and nobody's around,to share it with
migrating birds??,i hear his voice in the wind,toward nirvanna
bleu roi,a thousand flying foxes,quarter moon
walking alone,the filtered sounds,of the hototogisu
dusk,a half-ripe melon,frees itself from the vine
patter of raindrops,in autumn leaves . . .,the seasons turn
his passing . . .,the small fir collects,fallen leaves
starry night . . .,a worn phone number,in the handbook
morning frost,a monk's chant,crosses the river
stalagmites,a passel of school children,up ahead
autumn leaves . . .,in the book she gave me,an old library stamp
autumn gust,the starlings? wings,tilt in unison
withered juniper??,mother's hair,since the nursing home
village temple??,kids behind the gods,playing hide and seek
through endless rain,the whistle,of the paperboy
the taste of cider,when fallen leaves begin,to overlap
bustling shoppers??,the bell ringer's,prosthetic hand
winter solstice . . .,smoothing a folded corner,in my library book
a single bubble,after the beaver dives,the rising moon
the gardener,and his scarecrow,the same hat
crows swagger,down the middle of the road,summer's end
starting school tomorrow??,he talks to trees,at the woods? edge
labor day,a spot of barbecue sauce,on the face of my watch
summer's end,two flies fighting,over me
old blue car??,the ease,of summer's last days
"a still, starry night??",train tracks,wet with dew
scudding clouds,the snake as long,as my sleeve
stump speech??,this black and white butterfly,in none of the field guides
thundercloud,blue veins down to the heart,of the gentian
sunburst . . .,bits of river,through the mangroves
a whiff of kelp,as i clear out the trunk??,summer moon
scenic outlook,each step reveals,more grasshoppers
jasmine in bloom??,termites swarm,from their nest
bark butter??,a nuthatch,works the edges
mountain slopes,getting wet as i walk,through clouds
city bus stop . . .,the boy squats in the shadow,of his pregnant mother
so many ways,to see the world,snake in the grass
haloed moon,the hawker twirls,his glow bracelets
summer dawn,the cat brings the rain,to bed
summer stars,hot buttered corn,on our smiles
summer brook,perfect skipping stone,on the other side
rain on summer sand,a child writes,the dead pony's name
wet sand . . .,the summer wind,sets our pace
peach season,friends come to visit,our tree
coffee shop??,hearing his name,in someone else's conversation
father-in-law's death,one gardenia petal,falls in the rain
razor wire,in the lime tree,a bird song
rolling sunset . . .,the dark side,of a wave
goldfish,in the graveyard pond,spring sunshine
family reunion,chachalacas shake,the branches
dusk,the last calf,settles into the herd
morning rain,a handful of strawberries,just as cool
beach walk,i shift a coconut,from hand to hand
warming breeze??,the barber's pile of clippings,a little bigger
evening traffic . . .,rubber lizards for sale,still on the pavement
first summer rain,the bride and groom pause,in their dance
tin roof,two doves settle,into a groove
village bells,the sun-warmed odor,of cattle
museum dusk,mannequin soldiers,hold their ground
nest-building??,a magpie sings,with its mouth full
softly the quail,from their crowded crates,greet the dawn
april,the shadows,bloom
spring book signing,the poet's pen,skips
plum blossoms??,vitamins strewn,across my plate
magnolia in full bloom??,a new tingling,in my breasts
angle of repose,a hermit thrush,fills the valley
songbirds in the dark,the sound of my sister's voice,when she lies
the downpour ends,first one peep,then another
the first bird,to break silence . . .,hour of the wolf
icesnow??,the stab marks,of her pronged cane
flashlight shadows,the storyteller's head,fills the ceiling
moonless night,the splinter deep,in my finger
deep winter,the splinter begins,to fester
rain turning to snow,a beggar in the subway,that no one believes
winter stars,we all hunt,for his belt
winter beach??,the size of gulls,up close
winter sun,the iv pouch,buckles
home village,nowhere to visit,but the graveyard
cicadas,the double dutch girls,take five
onion skins,in the kitchen sink??,leaves raked and piled
warm rain,batman rides,on daddy's shoulders
frost melt??,the pewit,speaks its name
late november,no leaves to break the fall,of heavy rain
apples in the grass,an empty swing sways,from the branch
fallen leaves,around the maple,do i have to go home
morning chill,a child's shadow,moves thru mine
that kind of day,the wind at my back,most of the time
almost sunset??,my husband humming a tune,of his own
breakfast alone,except for that cricket,behind the fridge
floating log,your words carry me,across the river
autumn equinox,a crow on the wire,reverses its grip
the same hilltop,but on the other side,of summer
tug horn,a cloud shadow,puts out to sea
rain on cedar shakes,after long silence,an old friend speaks
desert breeze,the clay jugs broken,by shadow
billowing clouds,the mill's overshot wheel,dark with moss
bounding ahead,over mountain roads,the full moon
autumn wave . . .,the hiss,of tiny pebbles
arbor gate??,turning sideways,to avoid the thorns
beach sunrise,daylight crawls,crab by crab
late summer,echo of a motorcycle,buzzing in the tunnel
butterfly house,our voices,float in whispers
vegetarian daughters,fingers stained,turmeric
heat lightning,through a stuck,screen door
oppressive heat??,tossing ice cubes,to the junk yard dog
lovers down the beach,turn out to be,driftwood
storm shelter . . .,a girl and her mother play,itsy-bitsy spider
two caterpillars,crossing paths??,summer's end
morning sun,cherry petals drying,on a turtle's back
young green poplars . . .,recalling,that kind of intensity
roadside huddle,of thatched roof huts,earthy rain scent
the sweet peas,begin their climb,solstice
wild roses,the farm wife shears,a gravid ewe
first warm day,harleys gleam,the length of the diner
budding maples??,an updraft,of goldfinches
